,review
41," We ask for the amendment of the law by Gukju.If you walk up, the steel is designed with a clean curve.There are many.The transit passengers do not appear in the village, so the restaurant is difficult, but the sentence level is high.However, there is a high difference between Asakusa and Sobu Line, and it is necessary to move in the horizontal direction, so convenience cannot be appreciated.I don't think that I want to go to food and shopping on the Asakusa bridge, and I don't think that I want to go to food and shopping.Akihabara cannot arrive unless he changes the elevator of the home and the ticket layer.The toilet for the disabled may be intentionally contaminated and cannot be used.The toilet water in the women's toilet does not come out.Although it is expensive, the distance is strange in any route, so there is always a tendency to be late immediately after the kick.The recent elevator is also bothersome than walking, rather than a mystery structure from the second floor.The station is not very motivated.There are two extremely inconveniences/exits that have been made when they are high -priced decades ago, but if this is the first time, it is difficult for the elderly to have only a large staircase because the elevator or escalator is on the subway.The wheelchair has an elevator at the opposite entrance, but the road under the station is narrow, so the JR is not for the guest, but from the administration.Despite the many things, the east exit is the station of the JR Sobu Line, which is not installed even an elevator or escalator. "
42," Do not work?`` This, this is not Asakusa !! '', which is familiar with the familiar Asakusa Bridge "
43," ※ I'll add it later../ If you have a lot of luggage !!!!Be careful when using this station. There is no elevator inside the station.If you make a mistake, your life will change.It is the end that the cost is low, but it is not possible to carry the goods.. "
44, It will be insufficient to live. 
45,"I realize that I send a line.I think this is why this line is noisy.In addition, because there is a Dowe subway, the escalator only installs only the uphill, so it takes a long time and tired.The transfer with the Doei Oedo Line must also go to the ground.It's far away.I was in a hurry to Haneda Airport, but I was quite embarrassed.If you come out on the ground and transfer, I hope you change your name.""Minami in Gurama"".The route of the Oedo Line and the Asakusa Line is also subtle (Rose and Magenta ...)/It is difficult to transfer with Oedo Line.However, because of that, once you come to the ground and walk a lot of streets, it is very inconvenient to think about the transfer.However, there are times when treasures are sleeping in the scenery from the nearby Gobashi or the Lawson near the Oe Line A5 Exit, so if you have time, the other person is a comment.There is a Kuramade station, it is a transit station, but it feels like it comes out and down on the ground, and it does not seem to be connected to the underground road./ [Street memo] "
46," I bought a 3 -day subway pass, and I finally understanded a little after the day's transfer experience.You should be able to see it, and if you don't know, ask the passengers or station attendants on the same train! ""It is not very convenient to move from one to the other on the Asaku Line.So is the equipment old?There are many bad stories (four).The image of Doyoung has changed./The design of the interchae is very poor and there is a lack of accurate explanation of the subway map.The Oedo Line Station was completely connected to the Asakusa Line Station.I had to take my luggage upstairs and walk for 10 minutes to Asakusa Line.There is no escalator at the entrance.Many tourists arrive at the airport using this connection and suffer from this nightmare.It seems to have been deliberately done with the harassment of N Doe Subway users.Before we transfer properly, I want you to express it in Japanese, English, Chinese, and Korean.For the elderly and those with bad legs, it was hard to know and complained for foreigners.In the normal Japanese people, the hard and tired body came to the head!I bypassed a stop away to go to the elevator on the plane, but I couldn't find it.Finally I carried my luggage down.I went up the stairs and saw the elevator exit!The entrance to the elevator and the outlet are so weird!/The round -trip transportation with Haneda Airport is not provided.However, there is an elevator for carrying the baggage at the A0 exit.It is connected to the route to Narita Airport.If you are going to Haneda Airport, you need to pull your luggage and climb the stairs to the opposite platform.Plan ahead of which entrance to use before you bring your luggage.And from 33 years in Showa, three Tokyo places have been held in the year.The history that remains in my impressions is Ohho, Kashiwato, Tochinokai, Sada's mountains, North Fuji, Koto Sakura, Wajima, and the sea of Mie.In addition, the name of the role of Kurama is derived from the Mikura of the shogunate in this land.In short, it has been only 30 years since the summo was performed in the current two -country national makes.The transfer of the Oedo and Asakusa Line is about 5 to 10 minutes by walking on the ticket gate and the ground.If you go to a crowd fireworks every time, there are road regulations or various regulations if you do not go from the morning.??…/The entrance of the Oedo Line and the Asakusa Line of the Guramade Station are different.I think it would be nice to have an elevator.The transfer of the Oedo and Asakusa Line is not recommended because it walks a significant distance.The succession of Oedo and Asakusa is too bad.I didn't know it at first. "
47,"← I don't know?There cannot be.The guy who designed such a transfer station is quite far from the Doei and Asaku Lines.Let's confirm in advance./It's only in Tokyo Marathon.It's easy to use.I can't help it, but every time I visit, I get tired of the inconvenience of transfer.It is an absolute nightmare.There is a separate entrance in each direction.!/To go to Asakusa, this is empty.It takes/rarely used station/ground transfer is too much.Far away ./ It is easy to know ./ I use it many times.It's hard to find/It's a long way to get a transfer ./ I can't see anything.Station/Yeah/Old subway station/production is bad."
48, transfer is not recommended.Is it better to change your name?It is the closest station of Asakusa Loku. 
49, people who are using water come out without seeing it?/The response of the station is too bad. 
50,"?I don't want to go again.If you don't know the station and listen to the place?I received the same attitude, and when I heard from another station, I was aiming at the top.I will never go again.The toilet was immediately after entering, but a long -time sensor was triggered and I was very embarrassed.It is the closest station of the Tokyo Sky Tree, which is very clean and managed.I heard it for the first time, and when I heard it a few times, I finally answered.However, the transfer method was different and eventually not attached to the destination.Because the attitude is bad and lies, I don't want to use this station anymore.It is a connecting station of the Asakusa Line. "
51," or difficult to understand/the station attendant was terrible \Therefore, if you are a person who is aimed at "
52," in the train, it's very bad to be in the trend, and it's very bad, and there's something that's not going to get off the train while sitting. "
53, smells in front of the station.. 
54, is blurred or rainy. 
55, is not moist and sweat. 
56, This station has only one window in the first place.So it is lined up anytime.Severe. 
57," because you are doing this, the reputation of Tow Chosun (Dobu) does not improve, so you can't win W Seibu.You can also put gender and bitterness soon?Why is it a rural person./It was faithful with shopping or food.. "
58," It is easy to use in that all genres are equipped../ Do not ride the treasure again.They stopped almost 50 km of train in an accident for an hour on weekends.I hope that the Tobu Line will go bankrupt.Anyway, there's nothing on this train line.Please stay in Tokyo, but stay in Inaka./ The train is complicated and difficult. "
59,The Sies' opinion and the results of the results were noticeable.Destructions are being given. 
60,"/There are no elevators or slopes, so strollers and wheelchair users are hard to use."
61," I told the stationary stroller, ""Is this station no elevator?""I was stupid and hurried, and I was afraid of each child at a distance and dropped the stairs.I felt bad because of the station.I don't think it is used again.When Wolyeong has a small child, I think it's a transfer of transfer by yourself.Can't walk a little more and improve the transfer path?Especially JR.Anyway, it won't be brighter?It was to transfer and transfer. "
62," is called one star in cognition, and we'll be a star deduction.It is unkind production for those who have a stroller because there is no, and it is an unkind production.There is also a bus in Rotary.There are many restaurants in the chain store around the station, so it is very convenient.There are three stores around the station (Olympic, Dobu Store, Miraberu) around the station./ First of all, there is no elevator.There is no elevator when you go to the stairs as it is.Because of this, you can retain or forced dangerous movements to escalators.Nowadays, I think that this is a rare case that we do not respond to this, but it is rare.I really hate this role..I feel very uncomfortable.Asaka Station next to the station is faithful to the station of the station.It is connected to the Musashino Sun North Jose Kasumi Station.. "
63," Dobubu -do is a express.There are many guests of the Musashi Line.Poor/Morning commuting time is that there are many transit passengers with North Joseo Kasumi Station, so the number of kicks is not cleared, and it is more than a crowded guest and a burning guest.And the toilet smells.I can't believe that I'm looking at the atmosphere.In the word of mouth in Asakadai, the Northern Asaka Station on the nearby Musashino Line is surprised because of the opening of the 40s.It's natural now, but at the time, I didn't see it in the same way, rather than the same national railroad.Perhaps Kansai Silver Silver has spread quickly.Do you have a home door, and you are thinking about the safety and convenience of the passengers?It was a place where there was nothing other than the field, so if there was no warrior in Urawana Omiya, there would have been nothing to use this station.Finally, I realized recently, but the express is stopped with gender and wakoshi, but I go to Asakadai without stopping at Asaka with City Hall.Isn't the person of Asaka citizens uncomfortable?It is a sign near the station, and it seems to be called carat town.It was a strange sign that ginseng was pleased with ginseng fields and crowded streets.You can transfer to Asaka Station, so you can take Dobuto Chosun to go to Kawago and Ike Bukuro.If you take a Chinese traffic, you can go without a transfer. "
64, also feels uncomfortable because the convenience store on the premises is closed.
65," The road in front of the pure white poop is not possible to walk without an umbrella, and the newly black sky should never be raised. "
66," I am a little worried about traffic congestion of people and cars on the main road.There is no unilateral prosperity.Around 2019, the area around the station immediately after the MNOization is a bit better than when it was a grassy and non -burning field, from gender to Asakama.Depending on the time and place, you can't call you, you can't do the LINE, you can't even open the transit guide. "
67," \I spent a lot of time in a fairly large area, but I have no idea that I could use something that I could understand.It is nothing more than an amateur written. "
68," But the balance of the maintenance of both sides of the station is very bad.I don't know if it's chocolate, and there's a person who's aligned with the person who remains in the line when I come to another train. "
69, The toilet is dirty according to the image of the road railroad (?). 
70, It is convenient.The 3F restaurant is the worst.There is no shop you want to go in!!Uniqlo is too wide 
71,"'s indication of diamond turmoil, such as an accident."
72," Seibu's car is also on board/convenient, but it is clean, but no accident is reduced ??/The subway diamond is severe.Eventually inconvenience."
73, The commuter express must stop!!!! 
74," The moment I came from the ground and went to the basement, I sweated. "
75," has a ridiculous cooling in the waiting room, but it doesn't work.It is convenient. "
76, It is too severe at the level of tears. 
77, is a station that stops the speed of the bankruptcy./If you do not see the destination of the train properly. 
78," It is very terrible for convenient beginners.This sweat is full.There is a wind when entering the train, but it is very hot because it is basic.It is necessary to make efforts to make the household as much as possible.There is no place to take time outside.The bus stop is not in front of the station.If the train stops due to a human accident, there will be buses to Goen, Oji, and Akabane Station if you go to Hwanchil -gil from Exit 1 and 2.I think there's a taxi running.If you want to buy, buy a ticket to Nerima and ride it to Nerima.If you show that you want to buy a regular pass at the Nerima station, you will return the fare of the facility.It is divided by Goja and Hanno.The number of driving is often headed towards Dobu Dodgeon.If you sleep with the farthest forest park or Hanno as the marina, it will be difficult to recover.The toilet is always cleaned. "
79,D-Wi-Fi is so weak.Perhaps there is a time to lean on Concos's ATM. 
80,"Curry Restaurant/Underground first floor is Yuraku's first line, 2 basement floors are bankruptcy, and bankruptcy trains are passed, but Yura Kuku Line is Wakoshi, Kawagoesi, Forest Park, Ogawa Machi, Ike Bukuro, Ikebukuro,You can go to Bashi, Yura Kucho, Toyos, Shinkiba, Shinjuku Sancho, Shibuya, Toyoko Line./ The cooling is not coming in, and it's incredibly hot all year round. "
81," I think it's definitely using the bankruptcy of Shinjuku.From the piano's tone, "
82,", it's dangerous, but I'm wet in the middle."
83,"Toshin Line needs to go out once, so transfer is inconvenient. "
84,'s security is bad. 
85,The passage heading to the worst. 
86,"If you do not go out, you will be lung by the person behind you.This is the first gateway. "
87,"I was very bad because I drove in the reverse direction.I'm sorry that it's not a regret?It is dangerous if I pay it here, so I think it's good to go to the 24H business Mac.Thank you for your long sister.Homeless people can catch it.There are many troubles, but sometimes people in the station are doing care of people who need support."
88, Seibu has almost no garbage tank or recycled Box (can bottle bottle)Outless) Many homeless people 
89, \I don't want to meet.It is so difficult that there is no alternative. 
90,? Security ： × 
91," If you have a big bag, you have only one escalator, so the movement is a bit cumbersome.It's hard. "
92,"9: 00 ~ 17: 00 (Saturday)/Yeonwon's attitude is bad.I act and settle it, so I'm sorry, so I don't say anything.It's still a young man named Namcheon."
93," If you don't ride a route in consideration of whether you want to go to Doko, you will go to the ridiculous place.There is no train coming back, and I stayed in Bijiho and returned to Ikebukuro station."
94, Moto Machi? Navy is a shityide 
95," When it is bothersome to come out of Ike Bukuro, be careful that the south entrance is very far from the track../ The house is deep underground and the distant is difficult/elephant Gaya.It is difficult to resurrect."
96," because there are a lot of people's streets, I don't like a lot of people, so I think it's an ant. "
97," I don't know at all because the station of Oedo Line and Buddhas is a mess.The station of the road.The transfer from the bankruptcy line to the Oedo Line goes up one escalator and goes to the right passage instead of the second time.It's hard to understand.Living here is abnormal, but the rent is, of course, the closest station of Skueni.If there was, I was hit by a uncle.In the mind, I can't help it because I can't go left, but because I am walking right.I thought. "
98," The toilet of Oedo Line is very clean.I think foreigners can live without a mistake.There are Oedo Line and Buddhist Ships.Very busy during commute.ATMs are available from inside and outside the gates of two routes.The station has a service spirit beyond expectations.Women's reversal of the bankruptcy, the final battle, guide, relieved.It is safely guided.There are cases where you can stop for a long time after passing the express to adjust the diamond.Very busy.Everybody can be stressed by the busy walkerholic while going on vacation.There is almost no silver and sweaty./ The bankruptcy line is a place where the gate is deep in the groove, so you have to walk quite a long distance from the north entrance.In order to reach the platform, whether it is Oe or Fukuto Fresh, you have to go deep into the ground.The station is very empty (no restaurant, shops, etc.), and you need to walk for a long time before reaching the desired exit, the right platform, etc.One of Tokyo's worst stations and the position is great (near Kabukicho and Korea Town), but the platform and stairs are far and too narrow to rush in the morning.In a certain time of the day, stand up and wait for a long line./Sin Okubo's Korea Town is often used to go somewhere in shopping.The flow of the elevator exit has become very soft!/Fukuto Fresh Reverse "
99, I heard that I couldn't find a bag at the baggage counter of Narita Airport before departure. 
100," because of the close of Kabuki -cho, there are many dangerous races.There is also a restaurant in the hidden spots around you../ Easy access."
101," (However, the underground walkway from Shinjuku Sancho Me Station to Shinjuku Station is a bit bad)/When it is near the end, the underground passage with JR Shinjuku Station is blocked by the shutter.The type is a pre -investigation. "
102, rice is hard and hard to strike.I could taste it. 
103,"On the contrary, if you deal with the underground passage well, you can go shortcuts.The transit is so bad that the rush of the rush is bad enough to think that it could not be considered in the construction of the bankruptcy.The station itself is liked, but the station is scary. "
104,'s city is small and wandering./The exit guide is strange.N? Cleanliness: ☆ 
105," The sky is not blue and clear, but "
106, is noisy and many people 
107,"'s ""Shibuya Station"" is separated.Transfer takes time.Since there is a guide, it will arrive if you proceed according to the mark, but when you don't know, let's check the gil order.People feel a lot of danger even on weekdays. "
108," I used to use another ticket gate, but I am giving up because it takes time to move.Be careful not to fall on the track. "
109,And I am worried. 
110," Tokyo corona breaks through 30,000 people! "
111, is scary ~ ?? 
112, people do not do translation. 
113,Two stars for.There were too many.I couldn't speed up and I was really tired.This is a big mistake ./jr Yamano Te.JR Shonan Shinjuku Line.JR Saikyo Line (Sotetsu Line 
114, is redeveloped as a southern furniture.It is being demolished. 
115, If I don't get any polite response because I'm working for money. 
116," Therefore, it is a crowded role in the earthquake disaster.If this goes on, I think the Japanese should be more bound for Nankai Trop.. "
117," I want to prepare for a month if possible., I'm not doing it!!! "
118," When I enter JR from Ikebukuro Station, my son's ticket was inhaled by the machine's malfunction.In the station, it was claimed to be a train, so if you are not convinced, it is said that this is not a bad correspondence at Ike Bukuro Station. It is also a contract like a broken machine.If it's bad, what should I do?/Most of them were finished. "
119, is difficult for babies and children. 
120," I have a lot of people on TV.The more detailed/grooves have become completely three -dimensional.The bee tool I use in the main is especially severe.The construction of the existing use is abnormally short, from the previous to the fuck, and it takes several times the normal air.So you can't immediately improve.Since the aging of history is also in progress, I think it cannot be partially not responded.A lot of commuting rush.Already endless symptoms. "
121," was narrow, dirty and dangerous, and it was hard to come to the stairs.The ceiling, such as the ribs of the N giant creature, is unique. "
122," Weekday morning.Moto Machi?Each station stop.Women -only cars.You can sit 100%.But convenience/This incident happened to me a long time ago, but I wanted to share it.There was a white -headed man who started fighting, but people were pushed on the track.But people are blocked "
123," If you come out of the station, there are many homeless people and cluttered atmosphere "
124,N something is a bit vague and dark 
125,"/I heard a ban on dialogue from Seoul Station to Ulsan.I knew that there were a lot of people who went to business often, but I didn't talk about it, but I couldn't feel comfortable even for a while.It was absurd and unpleasant "
126," is very far from the boarding place, but ... "
127," near the night, there are still many homeless people around you, giving citizens anxious. "
128," The platform of Subway Line 1 bursts at the time of commute, so it's good to just change by bus, "
129," There is no good restaurant because it is a station.I have to go to Exit 1 and cross the crosswalk.The same guard is standing.Money is a happy schedule./To date, it is a representative station in Korea, but in the future, Seoul Station seems to be hard to be positive.It's very crowded. "
130,", which was changed to a pedestrian path in front of Seoul Station.Overall, the travel time is too long.There are still many people who are still homeless.I don't know anything and I don't know anything/I can see Namdaemun Market and Namsan at Seoul Station, and I can see the newly built high -priced garden/The largest station train subway in Korea can ride everything.There aren't many chairs, so it's hard to stand "
131," There's no place to sit in the store ㅠㅠ/Line 1, Line 4, KTX, City Hall, Huam -dong, Namdaemun, Namsan Tower, etc.Still, there is another history?/Big and congestion.There is a children's hospital near Seoul Western Station.Park Jung -hee is a grateful station/There are so many trains in Seoul Station! "
132,"Vienna PET bottles are scattered, so it's quite dirty. "
133,N was the first to smoke in the subway history toilet.The atmosphere and level are considered to be nationwide.It's not an exaggeration to use the worst.Bad memories related to the role of toxic themselves overwhelms good memories. 
134,". Finally, during the last construction of the screen door, the platform of Line 1 is under construction, so it is very messy.In many ways, it is difficult to access, and the transfer distance is so far that you have to go well./The transit station (Line 1) and Line 5 are deep in the "
135, The transfer is too long.It is not possible to Yeouido/Public transportation is close to Yeouido and Yeouido affair 
136, Now it's easy to find with a large department store.A female employee screamed at the elderly in a lot of clothes. 
137," It is easy to connect with the main shopping malls and transfers.NITX Youth-2 Sinjeongji Line-Line 1-Line 2 Main Lines There are a lot of people.One/especially Line 1 is crowded!/Complex/People used a lot/Seoul Transportation Corporation ~ ♡!/It is convenient as a passenger station in the gin tonic/transit station/Transit Station (Line 1)/It's so fun/Very crowded/Most complex/Very good. ^^/transfer/where?subway station/??…/Not bad/There are many people./Complex station/Sindorim. Subway Station,/People's North/Subway Movement/Subway Station/Sindorim Station is the hub of Seoul subway lines.You can search the destination with more details/trains that are easy to burn.But Line 9 does not pass here.Jin Kimbab Shop at the Central Station platform is the most unkind and second most expensive place I have seen in Korea for three weeks.It's a good and systematic station, but it's always crowded.We need to listen to where the train is going.Besides, why is the ground park space so much money?Anyway, the worst transfer station.The guidance is a mess and the people who use it are messed up and do not transfer to Sindorim Station.No, there is no transfer.If you want to go to each area, not to connect at once, it is a structure that you have to find a dedicated elevator and move around. "
138,", but it's easy to transfer.If you go to the mask, there are a lot of delicious doubts/There are so many people and messy/you don't have to talk.The worst subway/The more you go to the place where you can know the value/the ground history is rarely used.Oh, I really leave my friend's bag here ................................... Sad/why?Is this only open?/It's crowded, but traffic is comfortable.ㄷ ㄷ ㄷ/Dutch -to -go -up hell ㅠㅠ/Pigeon often moved/a lot of possibilities/Worst transfer section/complicated ~/Complex complex/Too complicated/Subway Station/Sindorim Station/Meer Breaker/Subway Station/Line 2 and Line 1.It is under the techno mart.There are many shops you can look around.Hyundai Department Store is close to E -Mart.Almost everything is here: there are two subway stations on Line 1 and Line 2.Next to the station is a shopping mall with Hyundai Department Store.Ansan/Suwon express train stops ./140/234 Shindarin Station"
139,"AK plaza is ruined.There's also a lot of platforms, so there's a lot of confusion "
140, small hopes that I want to be expressing the express ㅎㅎ/A place that develops more than before ㅎㅎ/I have to feel pain when I commute ...It is not good to meet people and catch promises because there are not many facilities around you./ Subway Doksan Station.Traffic hell ..... But where you have to go every day./Toit companies and Ifar -type factories are concentrated/Good after facility improvement.It's a bit of a ticket gate .../The train schedule is not correct during the commute time/Cherry blossoms are fully feet/Line 1/Just huge/crowded
141, It has been changed at Siheung Station.Turning these guys do too much. 
142," The police can't catch criminals and want the minimum crime rate.This is necessary.KTX Gwangmyeong Station should also be operated more.And it was time to stop diesel locomotives.Diesel trains, which are large -scale pollutants, must be exit quickly.KORAIL is a public corporation, but it doesn't seem to think of the people.However, if you want to take Gwangmyeong Station KTX, you must wait and change here.I waited for a long time ../ I went to the Corona PCR test "
143," If you go out, you are chasing a sticker, especially refugees, and the underprivileged, and chases them to make a sticker and sign.There are two exits, so it's easy to find the way/I'm well cleaned around the history..../The whole area is the station between Geumjeong Station, and there are not many mobile populations.Be careful with the water of me/I'm so dark and scary./It's okay/There are many factories."
144,"4 will run hard./Every time I leave work, I think KORAIL's safety hair will fall from ""ceiling"" !!-3 seats @"
145,Neglection 
