,review
59, is famous for its access to Skytree./ We can walk to the Tokyo Skytree station of the Dobu Line in front of Skytree Town.The on -site murals are raster color./ Pretty/I will go home today and stay in my brother's house for six days.I access Akuse from Keisei to the airport./ It's close to Soramachi.I liked the service on my way to Tokyo Sky Tree./ The station directly related to Sky Tree. 
60,"4 is the best view of the other Senju/Tokyo.In the observation deck, you can see Mt. Fujisan in the distance :)/It's fresh at any time."
61," is full of shops.The view from the view is also good/visit with mylove?The home of the Asakusa Line is old and the stairs are narrow.Do not!/Do -san? Keise Line takes time to drop the stairs.The stairs are as narrow as many of these./It's convenient for a fun food sample exhibition.There is also a coin locker./Skytree is always crowded in the underground station.The tree was already decorated!Clean!/My favorite station in the whole of Tokyo Metro.Friendly and cooperative ..5 ??service..…/It was a wonderful view./ And everything was beautiful and there was a skyy/from the bottom to the top..delicious.Hello.?/Whether you spend too much money in Sky, the mandatory./Very useful lockers/exit takes quite a while?The bus destination was the best/Skytree was the best.The perfect suggestion for autumn ????…/Is it very pretty?(^o^)/Is it Tokyo attraction??/Very comfortable train route/Obviously a train station/convenience in connection with Sky Tree.Hiik/It's a very good place ??/Unbelievable/The second tallest building on the planet.Very cool !!!!!!/If the subway exit is miserable.And the breathtaking view!/Are you angry with someone who wants to double ??/I'm not too busy/convenient place/Sweep/Home is visible/Very fantastic "
62, fantastic 
63, is fantastic/Very clean station/There are many trains to transfer./High TV Tower/Convenient./ Nitya Tomi/Good seat!/Like/always crowded/Osiage schedule/Good/Skytree direct/Good/Bad did not go to the world's famous places/convenience to use/Clean Street/Station./Various play/Clean place/I like that place.…/Station./Skytree entrance/Sky tree near!
64," video is an illumination that was shining in the center of the western exit rotary.There is only a handsome and cute person, so you can enjoy drinking slowly with mature atmosphere, and you can personally like OK with rice alone!You can also wait. "
65, It feels quite convenient.The entrance to Miyoshi Machi is quite developed. 
66," It may be delicious, but "
67," Shikytown has a lot of flowers, "
68," is the best in walking.There is a supermarket next to the station, so it is convenient.It is a housing area right next to the station.In the direction of the time, the grooves are relatively up because the land is lowered.The station is the station that can be done by the New Town, the station itself stops only at the semi -level and each station, and if you are in a hurry, you will be transferred to the express or rapids at Fujimino Station, where you are coming from Shikiki Station or Wakoshi Station.The groove is increasing because of the soil of Yanase, and the weather is raining on bad days, and I hope you will install some somehow Bifi Wall.It feels like a small and local city, and passengers use the new town's resident center and from the new party complex next to the side of the station.There are some students who transfer by bicycles at the school bus or station of Seibu Dai High School, so the morning student stands out.And the season of cherry blossoms is crowded with cherry blossom trees along the banks of Yanasegawa, so it is crowded with flowering or barbecue.In the station opened in the year, it seems that it was opened from the development of emerging housing sites.I didn't know the name of the river until this station was created.Yanase is a attraction of Shiki's cherry blossoms and is said to have 300 Yoshino cherry trees.Among them, there is a variant of wild cherry trees.Although it was a place that was collected in the 1980s, Mr. Ozaki, the chairman of Shiki Shi -shi's Hatazakura Conservation Society, noticed that it was different from other cherry blossoms and preserved activities, and as a natural monument of the city in Heisei 5 (1993).After that, the result of requesting an investigation to the scholar was recognized as a variant of the batter Kura, that is, the cherry blossoms of the new species./ The platform is a small area with two stairs and only one outlet.There are only two tickets.In other words, there are large supermarkets, post offices, and banks outside, but in the middle of the residential area.The bathroom passes through the ticket gate, so you can't relieve it until you pay the cost.I miss the time, and I miss.In particular, the cherry blossoms of spring are clean.This scenery is the best. Today's fishing was Yamabe 12 tails.?????????…/It always smells good.Something is called social experiment (memory is ambiguous) ./ The closest station.I can only say it because I watch it every day.However, the stairs are narrow./In spring, cherry blossoms are clean and good./There are many humanities./The suburban station in the residential area."
69," Kanashiikana/I came by walking at home?There was also renovation?/Cat cafe, Nyan's nyankos, hospitality cool ♪ Very good children?After a few times, the Nyankos are familiar and have nothing ( * ^ *)/There is already a new station in front of the new station.It is a forestry that is a porch of Shiki Station, which is cleanly maintained!/It is an easy -to -lock station.I visited in N20 years, but it was transformed into a completely different station and was pretty.(Laughter)/The restaurant is a faithful and express stop./There is a waiting room where the wind rings.n smells delicious smells./ The express stops and bus stops are good!The space inside is spacious, there are two floors, and there is a rich menu that feels friendly.Express trains are good/relatively good, but sometimes there are DQNs./ It's a great station./ The store is a lot of convenience near the station./ A lot of schools and a good air in the city./It is hard to know how to enter Yoshino -ga as a construction, adding to the entrance next to the alternation.Pay attention to walking.(2019/9/25) "
70, ＊ ＊ ＊/I felt discomfort in the direction of reverse development./The station building is also clean and lively.I lifted up in the test.It is easy to hear that there is a bookstore.Near the station building/Equia is convenient Death!/It's pretty good./ always perception./ It is a city with a caffeic.I can come without a transfer from the Mirai Line. 
71," It has been visited for a long time, but it is very convenient because it is a shopping mall of a three -story building with a station.Asahiya Bookstore, other restaurants have a variety of restaurants.TrashIt is not used, but there is an open and calm atmosphere. "
72,It is a time from the north side.It was more flourishing than I thought.There is also a Marui around the station building.Tachina is bad.It is very convenient. 
73," It is recommended to live because it is crowded with many commercial facilities outside the station.Even if it rains in Marui, you can go without an umbrella.The opposite Rotary is under construction, but I don't care so much.The disadvantage is that the toilet is far away.Shiki Station is said to be the most in the station where there is no transfer.There are many high schools and universities around them, and students stand out.I often go shopping and meals in Ginza, and I am going to Yokohama and go to Yokohama 2-3 times in Kamakura.There seems to be a growing number of tourists in Kawago, and I think many people are thinking about the excavation of the underground main field around the surrounding area.Higashiguchi is neatly maintained around the Marui Family.It is faithful.It is a very convenient station that is used without complaints.It's a bit sorry for Tsutaya's disappearance, and I hope you can do a rental DVD and cartoon shop again.In addition, various shops are nearby. "
74," winter is clean.There are shops and shoppingists, but I'm also worried about security.Access is convenient, there are many shops nearby, so it's easy to use.It is easy to live./ The attitude of the regular store is also inconvenient/tidy, so it is convenient, it is not entitled.And there are many beards."
75," It is convenient because it is in a friend or a favorite bakery.In addition, I can ride the express train to Ikebukuro Station. "
76, I want to use the express train in the future. 
77," Asaka citizensI think it's a good news./It is the central station of Asaka City, the station of the mid -rule.N Underground Mainjang is also easy to use.Finally, all Asaka users will be happy./【Dobu Railway】 "
78," Recently, it is new and clean ./ The tenant has become faithful and convenient. "
79," has a royal host in front of the station, the Starbar is doing until 23:00, and the restaurant in the station building is not bad. "
80," \, Easier to use than before.Tokyo Metro starts by default. "
81," is the best station.This is convenient because it is convenient to go to one side of Shibuyana Yokohama with a bankruptcy from Saitama to Tokyo.It's not long.Food, fashion goods, bakery, UNIQLO, etc. are included, and the upper floor is a hotel.The side is crowded with relatively large commercial buildings and mansions, but the North side has no rotari environment, and the impression is very different in the north and south./Well, the usual station ?? "
82, Reverse Naka has become clean. 
83," refunded separately, but at the first time, I was able to make a refund of 500 yen without even a proof of my identity. "
84,"Since there was nothing on the subject (Asaka next to it was a reverse building in front of you, the reversal was maintained), but it is a welcome.I would like to make it in the mini theater than that.There are quite a few. "
85," because the induction of employees was very good, I could not take time, and I could get the purpose of the purpose.You can also eat food in the point.If you are a fucking train of the 9th era, you can sit side by side. "
86, The atmosphere of the countryside was clean and surprised.. 
87," Wako Kita Inter is also close./ I lived and used it, but it was very convenient and the access is very good.It will be more convenient for the building/Saitama prefecture, but much more recommended than the west of Tokyo.It seems that UNIQLO and Seongseongii are open.As the number of stations is being maintained in front of the station, it is a star/end point.It is getting open to it.The building will open soon./It's the best shop for vegetarians.The sign is a bit difficult to understand ./ The toilet has survived./The passage is narrow during the construction./It is a station/cool and quiet/clean/clean/usually/good/entrance stairs are cumbersome./ Transit convenience/We are currently modifying!Saturday Diary 8:23 Shinki Bar is closed at 8:22 and does not wait for the bronze line.If you pay on time, "
88," There is a station near Dobu Dodo Narimas Station.This metro is cheap./ There is a baggage of the subway Narimas from the parent's face.It is a very convenient station.If you ride a commuting speed, you can go to Shibuya in 30 minutes.Let's be prepared. "
89," Cold noodles are delicious.Kimchi is a handmade potato, not like Japan, but this is delicious.In Nari Mas Station, it is moderately close to KOSPA.Of course, there are also high -quality meat, but you can easily finish.The clerk is busy, but the hospitality is doing properly.You can get a mint sword on the way back.I want to go to lunchtime./ Yuraku Choo Line is also very closed because both passengers on both sides of the core are lined up.It is good to divide the line of starting cars like Wakoshi Station./In terms of normal senses, it is near the street where the station is a transfer station with Higashi Kami Sunnari Mas, but the next wakoshi is the same home transfer and the number of direct communication isBecause it is moderately convenient, this is a transfer station.I do not do not ./ Subway Narimas Station.Tow Joseon has a long waiting time for the train, but the subway is convenient because there are two lines of bankruptcy.The frequency of use is high because it can be transferred to the same platform at Mukohara Station.The same is true of the downhill as well as going up.Yamato's courier box is installed, but it is in a subtly inconvenient place.Other entrances must be stairs even if there is an escalator on the way.There are two stories./ There are many shops "
90,Summer is a pretty hot station. 
91," Home was very clean.There is a 100 yen shop name.Surprisingly disappeared, it was close to Toshimaen.The cherry blossoms of Ishigamigawa are excellent.There is no hospital that you want to go.You have to line up on the line of a healthy person who rides. "
92," is a request.? Fukuto Fresh Station.Personally, like a love animation and comic of the Holy Land (?), I like it.In addition, along with the Sakura Dai area, the Holy Land (?) Is in this Hikawadai area.There is a cherry blossom spot nearby.Spicy. "
93," can branch in 4 routes from the station, go to Wako -si, Kawago, Kojawa and Hanno, Idabasi, Shingiba, and Shibuya and Yokohama.The demand as a high demand is very high, and the trains, ordinary trains, and destinations are well connected, so I admire it! "
94," was also a clean and good impression.It is professed to proceed with the barrier -free as a barrier, but in this station, an elevator was installed from the ground at the entrance near Ikebukuro.Isn't it possible to say that it's still a barrier -free?In particular, it has been improved quickly because there are many wheelchair users.It is a very convenient station to go to various fields such as Shinki Baro, Ike Bukuro, Shinjuku, and Shibuya to Yokohama.When you get on the ground, you have an elevator and an escalator. "
95, It is convenient because everyone has a toilet.It is possible to buy in the waiting time.I will always use it as a commuter.It is quite convenient. 
96," But as shown in the picture, the tunnel is largely opened in the sky.It is amazing because it is climbing. "
97," I think most people are so.I was a foreigner, but when I was lost, my staff treated me well when I asked how to buy tickets.In the rainy season, there is a box full of umbrellas that can be used by people who have forgotten the umbrella.Japan never surprises me.Separate fare should be careful./ Seibu Yura Kucho Line, Dobu Dodojo.However, the vehicle is a `` blue frog '' of the 90th anniversary of the Tokyu Toyoko Line.In particular, there are no buses or tourist attractions, and the area is unfolded.I think it's hard to live. "
98,"It's like a city./It's a good atmosphere.It is recommended./ Yuraku first line, bankruptcy is likely to move there since the old days."
99,"There are only three convenience stores right in front of you and there was one nearest accommodation in this station, but both the atmosphere and the price were satisfactory/Yomachi Station is convenient for the transit of the Yura Kuku Line and Fukuto Fresh.(In the vicinity of Yomachi Station, the Yurakucho Line and the bankruptcy line are sick.)Surprisingly, you can use it .// If you enter the entrance of the 4th, there is a large white piano on the right side of the gate, and it is great to play the favorite piano from a young boy to the elderly.I miss you good performance "
100," I was impressed with this wonderful station next to Ikebukuro.Tokyo Metro is great.The bankruptcy express and commuting expresses are not stopped at the station next to Ike Bukuro Station.In Yomachi Station, the Yura Kuku Line has 2 basement levels and the bankruptcy line is home on the 3rd basement.The reverse structure is simple and easy to understand.Home door is installed. "
101," \Because it was lined up behind N, I tried to play Chopin's Nocturne 5, which can be played for about 5 minutes, but the piano is easy to play with a grand piano, so it is easy to play and the sound is good.♪ "
102,.I was happy to be able to applaud with a smile from 3 family members after the performance ♪ 
103," I finally went today.In front of a stranger person, I played a very beautiful tone with a 100 degree chest.The train and station are now "
104, applauds for those who play ??It's unintentionally ?? 
105, Yamate streets are optimal for running. 
106," escalator must be a staircase in a place where only a part of the uphill is climbed.There is no type of sweets, foods, and miscellaneous goods, just because sweets, foods, and miscellaneous goods are sold for a limited time.Street piano is placed.It's a wonderful cool to run near the national road ♡"
107,"'s land macrin Sunshine City of Ikebukuro is adjacent./ It is a space of youth.It is full of attractions, fun, food, and what you want to buy. "
108," is connected to a shopping mall directly from the station, and the transfer of each line is easy and personally convenient.I often use it for meeting. "
109,The baby was decorated. 
110, I am grateful for smoking.Ike Owl is a landmark. 
111," This is the first time before the day before, I went to Seibu Chichibu by Tokoza and Tokozawa!!/On July 11th, I got off the bus from Shibuya to Fukuto and I went down to Ike Bukuro Station and pushed my luggage and walked to the platform.The shoelaces are released.I found a chair and sat down and tied the shoelaces.The cell phone was removed to the side and walked.When I arrived, I forgot to take my phone, and when I found it, it was already from the station.I went back to the gate and there was no station worker.Don't go down the platform to find a cell phone. I was very nervous because I couldn't even do it.I can.On the platform I was sitting.I felt deeply how great the Japanese people's compliance and consideration were.Without a cell phone, you wouldn't have known what to do on the next trip.I hope the enthusiastic woman knows that I have found a cell phone.(She later went to catch the car.)Thank you ~ Thank you Japan ~/It's always crowded but convenient! "
112," is easy to shopping because there are cafes, department stores, and all shops./ Tokyo City is the first Ike Bukuro station.It is a station.If you want to experience China in Tokyo, the exit of Ikebukuro is by far the recommendation.In addition, there are some places like Kabukicho.Passengers may not be such a stimulus, laughter <Keyword: China and China> "
113," There is a wonderful movie theater such as Toho Cinema Ikebukuro and Grand Cinema Sunshine on the east exit.Personally, I think 4D movies are the wins of the Grand Cinema Sunshine.In addition, the scenes like Akihabara are seen a little, and the sub -culture is infiltrating.In addition, there is no details, but it seems to be full of women's products, and the deacon cafe is also popular.Please come to play!The station is adjacent to the department store.There is a Tokyo Art Theater and Rikyo University.It's convenient to know on the station! "
114," is a good choice…I used it on an evangelism holiday, but today I felt more people.(Do you think it's the influence of the event in Sunshine City ??) "
115," is also good, but ^_ ^"
116," I like the big camera's CM song, and I heard thousands of times.It is a very good song. "
117," Today, I went to Ikebukuro as a warrior-!!! "
118, is really convenient. 
119,"The glass window in front of you likes the smoked specifications and a very full -hearted ride, so one of the content you want to actively want to go to the rich department is enough!!/Seibu Ike Bukuro Station was boarded at the express. "
120," The groove of the train has a dedicated groove for the express train, so the purchase of the express pass was very smooth. "
121,"Even if the seats are also comfortably, the legs are comfortable, so the ride must be. "
122," It is a big city that is not tired of showing various faces.It is very convenient for the countryside that is very difficult to understand.The premises are neat layouts, making it easy to use.As the role of the Seyun Line, the number of elevators is NO.1.Since ancient times, it has been used as a connection from Seibu Ikebukuro Line, or because of the recent workplace, it has become a commuter right.In the future, holidays will be used to increase more frequency than Shinjuku Station.Despite the two -stage grooves in the start of Dobu Dodojo, I have won a speed of 50 to 60 km and feels quite powerful. "
123,"It is convenient because it is sold in the basement price.Keep in mind that.For me, this station is the busiest station that can be handled comfortably, and the reason is:There are many people, but they are not as crowded as other stations.There are still many shops where you can walk around, find a station exit or specific lines, and look around.It is lively, vital and pretty good. "
124," Today I found a great news, so I took a picture.Is it illumination ~ !!Now it's like that season ~ (*ω ｀*) "
125," If you come to Ikebukuro once, the all -round feel that you can go anywhere is invincible! "
126," The street itself is not a good place for honesty, but the station is easy to see and the route is easy to know.It is a terminal station and it was very convenient in connection with department stores such as Seibu.If you go up from the basement, light up with blue and white electronic decorations. "
127," Let's go to a clean station./Despite the two -stage grooves in the fucking station of Tobu Dodojo, I have won a 50 to 60 km speed and feels quite powerful.Because it is faithful, I don't think I'm wandering there. "
